cn_id,hateSpeech,counterSpeech,split,cn_keyword,num_cn_keyword,hs_keyword,num_hs_keyword,num_doc_retrieved
ENT1ST0001HS0033CN000021,"According to a recent OFSTED report, a school in Birmingham is still segregating girls and boys, despite a Hight Court ruling in 2017 that this is unlawful.","To be fair, the OFSTED report is more concerned with lack of enforcement and less about focussing on the practice of any particular faith.",train,"lack of enforcement, Ofsted report, particular faith, focussing, fair",5,"school in Birmingham, recent ofsted report, Hight Court ruling, girls, boys",5,114094
ENT1ST0001HS0033CN000021P1,In Birmingham there is a school where girls and boys are separated even if it isn't legal.,"To be fair, the OFSTED report is more concerned with lack of enforcement and less about focussing on the practice of any particular faith.",valid,"lack of enforcement, Ofsted report, particular faith, focussing, fair",5,"school, girls, legal, boys, Birmingham",5,309328
ENT1ST0001HS0033CN000021P2,A school in Birmingham is still separating girls from boys. This information come from an Ofsted report. A high court said in 2017 that this type of action is illegal.,"To be fair, the OFSTED report is more concerned with lack of enforcement and less about focussing on the practice of any particular faith.",test,"lack of enforcement, Ofsted report, particular faith, focussing, fair",5,"type of action, school in Birmingham, girls from boys, information, Ofsted report",5,179259
ENT1ST0001HS0033CN000022,"According to a recent OFSTED report, a school in Birmingham is still segregating girls and boys, despite a Hight Court ruling in 2017 that this is unlawful.","While this story is presented as an 'Islamic issue', the OFSTED report refers to 'countless' faith schools that still illegally maintain gender segregation - my guess is this is a cross-faith practice and not exclusive to Islamic faith schools.",train,"gender segregation, islamic faith schools, faith schools, Ofsted report, islamic issue",5,"school in Birmingham, recent ofsted report, Hight Court ruling, girls, boys",5,64347
ENT1ST0001HS0033CN000022P1,In Birmingham there is a school where girls and boys are separated even if it isn't legal.,"While this story is presented as an 'Islamic issue', the OFSTED report refers to 'countless' faith schools that still illegally maintain gender segregation - my guess is this is a cross-faith practice and not exclusive to Islamic faith schools.",valid,"gender segregation, islamic faith schools, faith schools, Ofsted report, islamic issue",5,"school, girls, legal, boys, Birmingham",5,274169
ENT1ST0001HS0033CN000022P2,A school in Birmingham is still separating girls from boys. This information come from an Ofsted report. A high court said in 2017 that this type of action is illegal.,"While this story is presented as an 'Islamic issue', the OFSTED report refers to 'countless' faith schools that still illegally maintain gender segregation - my guess is this is a cross-faith practice and not exclusive to Islamic faith schools.",test,"gender segregation, islamic faith schools, faith schools, Ofsted report, islamic issue",5,"type of action, school in Birmingham, girls from boys, information, Ofsted report",5,133077
ENT1ST0001HS0033CN000023,"According to a recent OFSTED report, a school in Birmingham is still segregating girls and boys, despite a Hight Court ruling in 2017 that this is unlawful.","The quoted report refers to 'countless faith schools' that illegally maintain gender segregation. Isn't it more accurate to frame this as a matter of lack of resources for enforcement, rather than presenting the story as an 'Islamic issue'?",train,"resources for enforcement, gender segregation, matter of lack, countless faith schools, islamic issue",5,"school in Birmingham, recent ofsted report, Hight Court ruling, girls, boys",5,64317
ENT1ST0001HS0033CN000023P1,In Birmingham there is a school where girls and boys are separated even if it isn't legal.,"The quoted report refers to 'countless faith schools' that illegally maintain gender segregation. Isn't it more accurate to frame this as a matter of lack of resources for enforcement, rather than presenting the story as an 'Islamic issue'?",valid,"resources for enforcement, gender segregation, matter of lack, countless faith schools, islamic issue",5,"school, girls, legal, boys, Birmingham",5,274166
ENT1ST0001HS0033CN000023P2,A school in Birmingham is still separating girls from boys. This information come from an Ofsted report. A high court said in 2017 that this type of action is illegal.,"The quoted report refers to 'countless faith schools' that illegally maintain gender segregation. Isn't it more accurate to frame this as a matter of lack of resources for enforcement, rather than presenting the story as an 'Islamic issue'?",test,"resources for enforcement, gender segregation, matter of lack, countless faith schools, islamic issue",5,"type of action, school in Birmingham, girls from boys, information, Ofsted report",5,133060
ENT1ST0001HS0033CN000024,"According to a recent OFSTED report, a school in Birmingham is still segregating girls and boys, despite a Hight Court ruling in 2017 that this is unlawful.","Gender segregation in faith schools is clearly a negative, but hardly exclusive to some Islamic schools. I was 15 before I attended mixed classes, but then, this was regarded as normal in the 1960's / 70's. The issue is really, if we are to allow faith based education, we need effective mechanisms to uphold standards, and legal requirements.",train,"based education, gender segregation, mixed classes, islamic schools, faith schools",5,"school in Birmingham, recent ofsted report, Hight Court ruling, girls, boys",5,64509
ENT1ST0001HS0033CN000024P1,In Birmingham there is a school where girls and boys are separated even if it isn't legal.,"Gender segregation in faith schools is clearly a negative, but hardly exclusive to some Islamic schools. I was 15 before I attended mixed classes, but then, this was regarded as normal in the 1960's / 70's. The issue is really, if we are to allow faith based education, we need effective mechanisms to uphold standards, and legal requirements.",valid,"based education, gender segregation, mixed classes, islamic schools, faith schools",5,"school, girls, legal, boys, Birmingham",5,274230
ENT1ST0001HS0033CN000024P2,A school in Birmingham is still separating girls from boys. This information come from an Ofsted report. A high court said in 2017 that this type of action is illegal.,"Gender segregation in faith schools is clearly a negative, but hardly exclusive to some Islamic schools. I was 15 before I attended mixed classes, but then, this was regarded as normal in the 1960's / 70's. The issue is really, if we are to allow faith based education, we need effective mechanisms to uphold standards, and legal requirements.",test,"based education, gender segregation, mixed classes, islamic schools, faith schools",5,"type of action, school in Birmingham, girls from boys, information, Ofsted report",5,133252
ENT1ST0001HS0046CN000014,The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!,"We need to work together to eradicate CSE once and for all. Individuals are the problem, it does not come from any religion, biased media attempting to scapegoat is being blind to the whole truth.",train,"media attempting, whole truth, individuals, blind, Cse",5,"muslim grooming gangs, own people, politicians, police, covering",5,238033
ENT1ST0001HS0046CN000014P1,Muslims grooming gangs are protected by the government and the police. This is a betrayal!,"We need to work together to eradicate CSE once and for all. Individuals are the problem, it does not come from any religion, biased media attempting to scapegoat is being blind to the whole truth.",valid,"media attempting, whole truth, individuals, blind, Cse",5,"government, Muslims grooming, betrayal, police, gangs",5,365702
ENT1ST0001HS0046CN000014P2,The police and the government are defending muslim gangs and they must be considered as traitors of our society.,"We need to work together to eradicate CSE once and for all. Individuals are the problem, it does not come from any religion, biased media attempting to scapegoat is being blind to the whole truth.",test,"media attempting, whole truth, individuals, blind, Cse",5,"government, muslim gangs, defending, society, traitors",5,309365
ENT1ST0001HS0046CN000015,The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!,Grooming gangs like those in Rochdale and Huddersfield have been rightfully convicted. Does that look like police collusion to you?,train,"look like police collusion, Huddersfield, Rochdale, grooming, gangs",5,"muslim grooming gangs, own people, politicians, police, covering",5,200979
ENT1ST0001HS0046CN000015P1,Muslims grooming gangs are protected by the government and the police. This is a betrayal!,Grooming gangs like those in Rochdale and Huddersfield have been rightfully convicted. Does that look like police collusion to you?,valid,"look like police collusion, Huddersfield, Rochdale, grooming, gangs",5,"government, Muslims grooming, betrayal, police, gangs",5,337810
ENT1ST0001HS0046CN000015P2,The police and the government are defending muslim gangs and they must be considered as traitors of our society.,Grooming gangs like those in Rochdale and Huddersfield have been rightfully convicted. Does that look like police collusion to you?,test,"look like police collusion, Huddersfield, Rochdale, grooming, gangs",5,"government, muslim gangs, defending, society, traitors",5,283202
ENT1ST0001HS0046CN000016,The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!,No they are not - prove this?,train,nan,0,"muslim grooming gangs, own people, politicians, police, covering",5,0
ENT1ST0001HS0046CN000016P1,Muslims grooming gangs are protected by the government and the police. This is a betrayal!,No they are not - prove this?,valid,nan,0,"government, Muslims grooming, betrayal, police, gangs",5,0
ENT1ST0001HS0046CN000016P2,The police and the government are defending muslim gangs and they must be considered as traitors of our society.,No they are not - prove this?,test,nan,0,"government, muslim gangs, defending, society, traitors",5,0
